微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
JhL5jl7pF,一直打卡打卡打卡打卡打卡打卡打卡打卡打卡烦死了！！！！！！！！！！！！！！啊！！！！！！！！！！！为什么要打卡！整天都惦记着这事儿！觉也睡不好，烦死了！！！ http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:11,Hi聊,6,0,3
JhL5ey4Mz,工作了 觉得自己的工作能力真的好差 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:11,Hi聊,0,0,2
JhL3C6dfK,新   生   快   逃    http://t.cn/RBaFzxp  原图 ,,http://wx2.sinaimg.cn/large/006gRmAaly1gi4nw8zk6vj30dm09n408.jpg,无,无,2020-08-27 00:07,Hi聊,23,0,0
JhL1Z60Rp,有一说一 韶大是真的辣鸡 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:03,Hi聊,11,0,0
JhL0RlLny,17文院的姐妹有没有想组宿舍的 这边还差一个人哦要求不打扰睡眠就行，点赞私聊你 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-27 00:00,Hi聊,0,0,0
JhKYJ0d0O,这样发展下去，不期望韶大能哪天成一本了，别掉专科就行 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 23:55,Hi聊,22,0,2
JhKzu0bV6,有没有提前回去的，一起zu房，我想回去拿个车证 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 22:53,Hi聊,0,0,4
JhKv2jA31,那些说刷微博带tag的同学怕是活在梦里 真以为在帮明星打榜啊 别人看到也不关心你学校这点破水事 每年各种校园奇葩事那么多 你换个宿舍还想吸引到网友眼球 除了感同身受 在别人看来就是矫情 各类换校区换宿舍的一抓一大把 第一次听说过想刷热度 当然如果说女生换宿舍清出... http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 22:42,Hi聊,60,0,7
JhKtb7jHG,我是少给宿舍费了还是咋的，连住个宿舍都要被安排得明明白白 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 22:37,Hi聊,1,0,3
JhKsW4hoj,这个图准吗？ http://t.cn/RBaFzxp  原图 ,,http://wx2.sinaimg.cn/large/006gRmAaly1gi4la8btx5j30u014076f.jpg,无,无,2020-08-26 22:37,Hi聊,0,0,3
JhK85gojg,要怎样才能拒绝搬宿舍怎么样才能阻止 打死不搬可以吗 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 21:45,Hi聊,4,0,10
JhK73F5aa,想刷 韶关学院搬宿舍 这个话题的同学，在树洞发是没啥用的，要自己发微博带tag或者转发带tag才有用，这样才能增加阅读和讨论量 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 21:43,Hi聊,4,0,1
JhK4D3HaF,？？  韶关学院搬宿舍  http://t.cn/RBaFzxp  原图 ,,http://wx1.sinaimg.cn/large/006gRmAaly1gi4jjx5flwj30c80c8js8.jpg,无,无,2020-08-26 21:37,Hi聊,7,0,0
JhK4nCb7P,放过我们这些准备毕业的老油条行不行？老了，搬不动了 韶关学院搬宿舍  http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 21:36,Hi聊,3,0,0
JhJGe8t4K,🌚 关心下心理健康吧在家已经很压抑了备考压力又大回到学校舍友勉强友好现在一分我社恐又一个人了我真的受不了我不想吃药 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 20:37,Hi聊,6,0,3
JhJrWgqY9,说实话，搬宿舍学校2018就放消息了，说明肯定也计划了好几年，但是却不愿意慢慢调整，只想走捷径迅速解决。如果计划、组织、协调上能做好也不至于现在如此… http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 20:02,Hi聊,5,1,2
JhJpPCJz9,等下半夜回到韶关，回不去堕落了，想找个地方落脚，请问大家知道哪里24小时营业的吗 http://t.cn/RBaFzxp  ,,无,无,无,2020-08-26 19:56,Hi聊,3,0,6
